iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
DZA,Algeria,2012,38.08557601502399,52.64314207086964,28.565071749181097,70.20401941013787,45.53415917030301,19.198759673647057,0.0022585108885389,0.660551953898791,1500402452.86349,38.1,14
DZA,Algeria,2013,40.86138806138594,53.986323312949395,27.6010551059315,68.86098081499476,45.07444388882075,18.768647678680097,0.0032052837183843,0.736559065111634,1691886707.50796,38.06,14
DZA,Algeria,2014,40.19622374588753,55.12995532849035,26.264522794926144,67.64000469177432,46.4987443398417,18.27474788784939,0.0014543320543761,0.628688968391006,1502206170.55838,37.56,13
DZA,Algeria,2015,40.88645586955794,53.54722727723885,24.03308335465411,61.54464344054195,47.62273950913857,18.012306670581417,0.0031595463365267,-0.286832290676438,-537792920.921856,36.11,13
DZA,Algeria,2016,39.85794871883305,53.57022525855283,21.966788160547612,59.85514223414018,46.960804125499095,17.78267060547193,0.043854079305894,0.906300705997455,1638263953.77736,34.86,13
DZA,Algeria,2017,40.591054468652125,52.15867357687347,22.00271960180781,61.974576831880704,48.683448574422016,17.76809053784594,0.0323266653730894,0.647902696344894,1230243450.87888,35.67,14
DZA,Algeria,2018,41.923750802333046,52.38718268738446,23.571992261739258,66.33344586281973,51.26621117700475,17.687900165902942,0.0336426093026359,0.753576088552125,1466116068.03411,37.65,13
DZA,Algeria,2019,37.98269366941151,52.50748819153383,20.01425721155366,64.50255455337503,47.50879568604324,17.54574450654946,0.0336426093026359,0.713947308015691,1381200049.59264,34.78,14
DZA,Algeria,2020,39.5030102516621,48.08891441488135,16.343861142270143,61.04368408897951,49.08762998997515,9.962286832576904,0.0336426093026359,0.693816014772836,1143918159.62918,33.41,13
DZA,Algeria,2021,39.243849610601536,53.216181414422415,20.212394999989872,67.9785006372845,48.935216333521566,10.660307570171582,0.0336426093026359,0.466728479682941,869194073.014935,35.83,15
DZA,Algeria,2022,40.6841021278716,52.9537258627117,22.82431585254497,100.0,49.76119773715916,16.802161057623525,0.0336426093026359,0.107187812155079,241796029.580125,42.87,14
DZA,Algeria,2023,41.640457894878416,53.446141781858955,18.353965379242897,100.0,50.429799231860535,16.277278623087568,0.0336426093026359,0.489819143410423,1214378660.66465,41.82,14
DZA,Algeria,2024,42.96883670920596,54.47474152165973,16.19074564940126,100.0,50.76669789579301,15.646690698263132,0.0336426093026359,0.455370730483787,1226414841.37248,41.5,14
SDN,Sudan,2000,12.147522825368853,53.52429795241642,9.752288481102848,8.649487439082765,34.98812767336819,25.17917643686316,,3.19972610023634,392200000.0,16.1,19
SDN,Sudan,2001,14.30251448202202,54.759614488094904,4.2855400443803795,5.542313787097758,50.0,32.77280263345181,,3.65224475988548,574000000.0,17.14,19
SDN,Sudan,2002,16.45750613867519,50.002083420598865,7.484995612639859,5.793136091740406,37.286527539904625,32.25156521582235,,3.93215499570306,713180000.0,16.28,19
SDN,Sudan,2003,12.680831153484826,53.650665002079165,7.97381465669363,5.683481331346819,37.390010786281515,31.7412628489124,,6.31782319761386,1349190000.0,15.71,19
SDN,Sudan,2004,17.393854163833783,52.22625724880214,10.369174653294111,8.413803969982625,42.03838304585125,31.216380414376456,,5.67090591014718,1511070000.0,18.66,19
SDN,Sudan,2005,13.6527632674624,52.90020543747934,13.632855359254792,10.502167005706788,38.259045055407,30.669627878401513,,4.4387993666553,1561689996.89435,18.6,19
SDN,Sudan,2006,18.34280571954366,53.88157158777449,13.83146450420972,10.762984164942583,36.93646621580139,30.135632901599298,,4.06910716037147,1841833814.08367,19.43,19
SDN,Sudan,2007,16.758167941922615,51.81612720592991,12.751867545168093,11.890008526368057,36.031602316996256,29.587057857171107,,2.53091571467554,1504379838.38584,18.78,19
SDN,Sudan,2008,15.05701312076822,50.65921827687672,14.154579745903048,14.422411255929816,35.61091058170124,14.477323711946708,,2.54980980762297,1653120315.475,18.89,19
SDN,Sudan,2009,15.796906019113722,46.66561998516292,11.778354538047948,7.894810606346995,35.35093840207736,29.375646876594125,,3.3441756822644,1726298402.95145,17.37,19
